Assignment Completion Status (%),Avg Assignment Grade (%),Avg Submission Delay (Days),Quiz/Test Avg Grade (%),Virtual Class Attendance (%),Adherence to Deadlines (%),Final Grade (Target)
90.0087242771281,67.78226717917248,2.368866111626537,63.173438199003165,76.37725522391457,84.27473200472883,90.0
70.16247172247476,83.4695002892071,1.2189592170701338,66.65813418490147,86.23867799624534,92.42890098588252,90.0
75.60598907089279,71.52861991169239,0.9188599321029357,70.42338921032389,85.99246343963827,71.46523957670661,90.0
84.54773875237393,69.09898111348124,1.0857064535647147,78.72124643239401,73.20780445336946,80.37455740700383,90.0
80.34558747380372,67.66953841595864,1.778800305590964,76.49471857948895,85.26868077814088,87.16213291870798,90.0
77.74575830506906,74.51826946142077,2.3638124761038455,69.91548386743978,90.47028441412085,73.46039002053882,90.0
85.39610916748084,67.62558964415695,3.141013806338096,72.47687338951461,91.57234671827973,80.58481919056497,90.0
78.9759033288331,69.17916444570612,3.0968458152744542,68.85500359341492,75.1544096453864,86.32294500764172,90.0
77.58627290439381,69.92682435567058,2.0921860974008246,71.8958434867989,79.62260598534144,73.15049984807574,90.0
69.6048214239409,75.21556475296471,2.8487571204625315,63.500388526509106,85.60726702062134,91.2758488060812,90.0
86.31629039654415,83.55310135065908,2.6310804138473127,65.04619537936426,90.79141590172623,81.97666634250947,90.0
87.20461991991593,70.15471039465412,1.9782094287318948,73.93735687605873,85.6995666211333,85.51647858583627,90.0
73.50742306332236,69.15136561366751,1.1259635516785578,79.46439757257939,86.63671195437195,69.76348738673555,90.0
75.08494191701247,72.95877115855605,2.0333207928977473,75.37369654157472,71.4652919185387,86.85387494686134,90.0
90.36130808236942,67.69769395507156,0.8721108226210292,70.5216209476158,79.0451483033597,82.55006276463564,90.0
76.64802623845736,84.39489919523898,0.8863525987304728,61.56774426506857,84.4612629675171,68.37094385584174,90.0
78.6614446165504,76.6192915411675,3.614071245122151,77.28587609715406,86.70540818464465,87.82159779310216,90.0
83.43584147664316,76.81448852745929,0.9931387672365681,70.17286578640477,89.3952428882206,78.6141571342327,90.0
89.89949260483276,73.46444340248864,2.9257883751314235,74.5018820484753,72.22215146382213,85.40841148523467,90.0
75.12647207819938,82.33445716773053,3.308960158612819,78.43752263326681,91.56213778017869,83.76275452195523,90.0
82.53892963601459,81.00948805396953,2.198273091524539,60.966689516961,72.5157436109925,71.41309770202302,90.0
76.33897604653671,74.1178927642005,2.4057691811751036,72.59938475447309,79.92394122015556,72.78239468167604,90.0
87.18251515117865,75.46921688528319,2.7730921382284937,73.60781025355065,73.57615007579118,85.94575053702198,90.0
82.48925905084967,68.07356366846035,1.3926755978881749,65.35717164831388,88.02814570580293,82.52578343673531,90.0
78.81663880424752,80.45823315208332,2.7435141957109925,77.47492811436624,70.79913060372371,81.04020040128812,90.0
77.87145327910908,70.99766931349119,1.7589221939210176,74.46715165314662,78.70154712278642,89.49232491239101,90.0
89.51496093558265,69.64100181833628,2.0841513921467394,78.1735691754491,81.97930627954511,71.27504237202803,90.0
79.05379028505125,74.38298603621095,3.0693320709777616,74.85073459582449,84.7830485018412,78.74086085976649,90.0
88.81654987954175,84.58865519214879,1.7841391713307375,62.95267532009542,86.76681747056877,69.04681036105636,90.0
77.2963830395195,72.6747130550869,1.1242164586694576,76.3977140655042,77.39865527016381,70.89149852095954,90.0
81.34161729905101,72.59668186804426,2.643081823897174,82.82171521740688,73.49314953740587,82.90397251112955,90.0
83.1760234729191,78.89641587577718,2.7478633364442473,79.93570770736052,76.74994236845089,72.94878805812174,90.0
87.85252393539558,69.35644497263792,1.8368598950790083,61.34235371056253,75.02640824035781,68.8214549989312,90.0
90.11377030387635,67.33230812251132,3.1608795094282733,64.3385308291724,74.98328346929853,71.66118238506327,90.0
78.51280974995262,81.41998336924614,2.3205902821684283,64.36676908758317,72.03273209535496,80.92530409260156,90.0
82.82195656146237,72.98747051123793,3.3544335949535755,81.22534080790733,84.63594887339157,86.8435251260029,90.0
87.70286896473394,77.83210630560296,3.183208429753911,82.59765171394726,71.73618774623107,69.42725042625798,90.0
77.1592724879066,74.14103972517572,2.397575532601053,62.28646304849057,72.7273592222279,84.60319746733465,90.0
85.44504377804537,65.55892572922605,3.5944638595105207,79.83250168829464,89.56148980915118,68.20429019452783,90.0
83.83522425633377,80.72765526972228,0.7951245003840033,80.68597735024716,89.70894714455414,89.2093383689845,90.0
73.2446765496781,70.85950326234051,2.1228465729134256,82.2985192239396,88.57124489405105,74.8491776224764,90.0
70.01336096623616,73.29350861243555,2.0329161136627,80.11999505231613,88.00083925234932,69.91317776655173,90.0
84.20850803148834,79.43188849360165,3.5595399576454936,63.85011571803746,84.34970500113207,70.26559547749193,90.0
77.94148910002366,72.81820917274368,3.2134647241045995,78.9433202422344,88.1248838474629,79.85833547462096,90.0
82.58557564850672,74.55988306385026,2.9286054179724035,76.14869411513833,87.92636584616709,74.45076065469482,90.0
75.54824818674841,79.78780743781823,3.370098796457823,68.97077352444252,70.25183749641748,73.8145106094676,90.0
82.63081171965487,81.25039070104177,1.5867235540715257,69.54988105610477,72.57477056544309,70.64309724331292,90.0
78.25772695434411,70.08196049679135,0.9293897545313244,79.97434665757679,74.33033019484112,91.37281964106722,90.0
87.24201095798925,83.36787423822419,2.2924954225975105,71.95372062209148,91.70566414849208,87.73564151740021,90.0
71.15296914325432,66.09199460280162,2.797501300632536,63.657244407642736,77.96461944851826,79.53397315475229,90.0
86.24825069482895,77.2219737286449,2.374039827811943,64.18005221517366,84.21989310041913,85.8623288268289,90.0
78.79401395782546,69.74473757524645,1.001574770270477,69.57945281909068,82.57276930215296,68.85952891749317,90.0
89.6319142573476,84.24713446467467,3.178706451795284,79.48822300207547,89.35688395234212,85.35343021094678,90.0
86.86455084251556,66.96381782453487,3.484664594787831,70.2704774561578,90.66880379735524,85.25350147580663,90.0
73.31023623147097,76.95319970741606,3.3420283747367705,66.01941069652737,82.75148793170385,87.37234627058177,90.0
85.35857995038654,71.93390653740884,2.3815687361767974,67.38555685351989,90.61681835104064,90.62559025002048,90.0
88.72223526443939,69.60310087157073,2.284894656616125,78.02053207712255,72.57035761753488,92.84922797479105,90.0
73.57939055993232,68.74621666761203,2.889773539696864,75.98681603668419,86.26726354620195,83.7439725641746,90.0
84.77856643239143,74.32093623935296,3.37205879367402,71.7892588476277,72.6165970365301,91.1052847279696,90.0
76.35944453942341,67.26220955161914,1.4398797293166765,60.912870927884924,80.2840710893482,90.70828065188292,90.0
79.09071461823424,82.63224896557162,2.991691640235133,78.08534304649893,75.32101338245945,93.21172011706605,90.0
89.05931745992916,74.2071164459074,2.2232979147465537,61.47577748044675,87.64506907381717,92.09235943619885,90.0
84.28841803006549,82.98707737075658,1.5379727961515846,68.0160226289872,82.26348288519893,75.01678385783882,90.0
75.9945047818463,67.49802706571211,0.9307050366089106,76.44356160542942,76.6039294835701,90.38185922205645,90.0
69.85946170515172,71.84039151097632,1.8762607403536697,60.980224015034054,91.27592535432167,78.97470623177007,90.0
83.87140483501949,73.52396125104207,1.9603519159406906,75.07094753810084,80.28117415975234,89.87929891243846,90.0
78.21947052413356,80.9046864901826,1.6997816185812542,82.679324434698,88.52559803365759,90.06888402652828,90.0
89.42271939667842,67.58896406079248,0.9689614548651144,66.03276376726016,79.52350825040699,76.76297235195884,90.0
80.55218672298597,68.7450758021747,2.49736194807885,73.28657639322716,84.00226488099074,72.071490106564,90.0
79.41798995615038,80.52454204893726,1.2008983539307065,69.90625562639197,70.74962695867009,85.68182967018564,90.0
84.3331764957353,65.67970458749744,1.9130133147365054,80.10297026283037,77.22829400816273,84.69783791076233,90.0
84.22617885643795,67.14287907099481,1.6028918382952835,61.08836449731912,83.47353131134683,89.97080612400123,90.0
81.89927863859008,77.92271327802696,1.0936640276589706,76.86568038764423,72.81532934833233,92.90388382789612,90.0
82.64680855089932,73.1716560989799,0.7635234460497105,72.29296563949917,87.56936774118795,92.08715295358013,90.0
89.75094905626278,69.40374231362348,1.8450937429028822,81.80549421793862,74.01962704820808,86.30299513671383,90.0
69.81984985335194,75.83725735715174,1.0044241427349379,82.33660474033891,81.86370553083451,73.59303314848516,90.0
88.16697280537436,69.30973261759272,2.807381714244997,70.55942696390434,71.06108106125828,73.28999262345496,90.0
78.77279342914939,74.01170833042255,2.854691683817724,60.08121410501174,70.11039838224777,90.72451290384817,90.0
76.45350390088097,65.32332956274259,2.875253531712583,77.54068561748564,81.29096368691438,69.97160391986297,90.0
84.42463129375523,81.01691357641627,1.3367546220006647,77.43724488653885,78.57097985795532,91.23463884772934,90.0
87.31676672612436,66.95464595420695,1.0410982979725025,70.86794332073056,71.28239998856871,89.8340333432296,90.0
81.85785260970331,71.2608091700586,1.5948426848649047,62.74811824409312,89.50828916938426,71.0193996397443,90.0
75.29930644544865,77.30008852704486,1.2316999600085348,83.39484929123648,76.96135426591322,86.23254174013918,90.0
85.02121703622961,72.88991124730774,1.9074552338602149,60.36578963966264,73.61844738177832,85.16301970998066,90.0
76.4868161859371,68.89974205419998,2.0335959618532855,65.52846910404202,79.32570756625807,82.63563836489055,90.0
69.63792604470169,70.79928978986837,3.609695224934951,63.58926561529195,90.61973508092609,86.4366997925603,90.0
78.353005746342,66.32739669487937,2.4390640439540827,69.64577076454343,84.70443670436092,72.3819640563725,90.0
90.20529545209283,67.77785495361435,3.313754829127694,69.2255541512274,73.47277606398836,68.96006797376594,90.0
71.21790396524274,68.15007975551495,2.909719748605011,76.71336981936358,85.2033849575887,83.82438633081716,90.0
85.83116495399833,77.46846898069893,2.29790052783776,65.85900050736745,91.33200588690077,81.99984826087515,90.0
79.52868127655711,71.52189092185247,1.166348049016586,76.00184301136187,74.12566393255908,90.1209928353778,90.0
91.83492179062418,83.36625115389961,1.1380958105141235,80.80300744206619,89.7094129322656,75.23475194700626,90.0
85.38416382199287,69.89476767725958,1.31314885671744,74.48008014469774,78.41579446468262,76.95818034243419,90.0
79.59976400351451,73.84007771842971,2.2297028601962214,65.12752416241793,87.09762564125249,77.81583627696705,90.0
88.3982975832437,84.00094189295686,3.500238705895229,78.99185757689567,78.11905226607448,88.14434550814019,90.0
72.5310527750607,79.44458514491748,0.8580224062107372,63.21120840189961,83.07562734306661,81.72882172503674,90.0
72.79340523083367,79.14126008305945,2.333684380446111,63.41149891370138,82.14408497898557,78.29757407168441,90.0
81.37223678038559,65.68136955757323,0.7502194262741553,78.81653772139222,76.51568730302373,71.89824973240373,90.0
74.0649539391321,69.68968420734618,3.4551006805209514,61.59421685668164,70.27751014416782,85.21275122352714,90.0
79.15607878469578,77.23321366090013,3.1734232374542977,61.09657126757759,71.47972377391994,70.09576953950352,90.0
80.8678433764249,71.40303529680332,1.9483380794526517,69.05460496809022,75.91052716042766,92.89061615046897,90.0
75.08702532567912,65.6667618371702,1.4694162068510845,71.43595441242103,89.9615642163878,69.52769609950477,90.0
86.4217537140599,75.22566870202037,2.637687711563807,66.77314076380469,90.85961053100564,91.6250246367502,90.0
75.01577720990524,68.6036441992238,1.6779117103980004,63.33908614999069,79.81402291317991,87.04713266563138,90.0
75.61910623633442,83.7239173705965,3.060293323177399,74.41891220277441,87.95767717612371,90.88262819627053,90.0
73.98917752997511,69.42375836033027,3.3179921220559967,68.44204695372315,77.81075328582047,70.44212213967631,90.0
71.18844737409873,75.90070397727352,3.540464252213722,75.98802164403118,87.89296467211267,69.91385120747654,90.0
79.58180814490431,78.3122417613854,0.8178512539047761,71.01810890179745,85.66551506839262,85.11185020048006,90.0
89.82718590782737,79.86603753888325,0.8047389285317748,71.55670951794515,87.56209764861919,91.56947866406895,90.0
76.88893675002898,81.73057302530131,2.172589326779285,71.9026613002058,77.28361046769818,69.95981117242107,90.0
85.78776060543687,71.2482357981297,1.1943943192454871,79.26061497227704,88.56724127016486,88.71692776132625,90.0
78.93713920190675,75.63719898325681,0.9214933499389818,65.301042736504,89.26589971003592,81.76765037915334,90.0
89.09413293369758,66.80276402311841,2.9802217101334127,60.27122446314238,89.78021690803376,82.51471554396598,90.0
79.37576959789443,76.13983916057796,1.3459365413591469,74.88022331580586,78.15236727345362,76.03943880702505,90.0
75.47387983788173,68.6205193848275,2.5525840143209884,82.23454798768083,87.0788245718665,76.70039175703914,90.0
81.37834187194902,74.3012348943808,0.9781147352649089,61.713236749433456,79.87689561677686,73.9111447387214,90.0
91.35917780527137,78.81740613824877,0.7632262684901037,66.54436485039507,75.09995966089886,69.81579377251649,90.0
70.85851458792295,83.3548775151516,1.1450606938592647,66.89965345775592,83.25801411628719,92.48566479549137,90.0
81.62184524887425,71.33680517469432,2.5968723007530485,60.55469856409692,85.04347132640243,72.77214598247248,90.0
91.04041503595673,71.7208878012752,1.2769603488912136,67.74878267213538,74.65376922991737,79.28778562096872,90.0
83.31197903407283,78.96068658803084,2.2361713766932803,77.2010974500577,72.1109228742985,88.77246589940341,90.0
84.55149557727673,80.9077266280945,0.9681429233886873,61.777118467487924,84.16323716499602,78.26626459619001,90.0
72.68048514937257,74.84249569802172,2.1497886715973085,72.95956395962267,79.8624250065101,87.43698334416155,90.0
74.25312252046693,83.27541123641151,1.4761025732057498,63.345580775513774,75.476995325322,86.7838185360126,90.0
76.65947867422851,65.42078902497131,2.6096727109828746,83.04717373538651,76.43011708277001,78.54869380616779,90.0
89.79356526084482,76.74281114669623,2.2597124982367927,80.38350009677605,85.63147175562402,74.39885298926706,90.0
80.09255930182366,70.80354333161883,0.8052430452973285,61.74396075556409,84.57447517868488,76.78264849136279,90.0
89.0935403061847,66.63223815459216,3.45809358220588,61.235541472544874,83.09424578089471,71.59977469258214,90.0
70.2375353727636,65.06201906195233,3.224861239358362,69.93469788595748,72.57330147537544,73.25009707409616,90.0
71.48674584414742,73.29167603277737,2.2256600060913514,77.55416356306537,81.54659221967904,80.61371423426621,90.0
75.78834775889264,78.30049035774867,2.0219727056573085,74.67046611387916,86.28110733148745,70.75799180173964,90.0
74.68487119995511,80.79075729400824,1.546065136251684,81.4593897268831,87.11936483129296,76.6016868357222,90.0
73.47091902038312,75.427761199944,1.5941275521219263,61.23435643257871,87.84665313329302,88.19545893606308,90.0
88.0616229941998,66.27306323388844,2.5405992741222465,83.08298674338451,70.3767934187157,71.40333738135249,90.0
79.46779061647636,79.55227851017466,2.8611831034066277,82.62769787166206,88.87853644697964,71.72406889240803,90.0
79.3273842089027,78.58291359891166,3.2367327963619372,61.09940300947445,72.60983722318744,78.89805483251493,90.0
90.56952899380906,80.1344496314799,2.3544903646466393,73.29273440054114,89.03374284913374,80.96681351352112,90.0
74.17954722950674,69.63872639466562,0.7245500167019301,72.76567345362787,76.05628348264139,89.85353288492216,90.0
73.5079126667583,78.76730059863198,3.5896054081212645,66.7016899747366,81.05632037715381,88.06839208030632,90.0
70.91230227234212,65.66723530284632,0.9854350678939607,64.8596646992428,90.63288742925626,79.28987083685072,90.0
76.53888332228387,70.52879254304392,0.9195003151300569,61.66628540093865,89.11375320267865,86.3795773850143,90.0
86.25683437074599,78.26810736584227,1.4578623438327991,76.00667946743118,88.8667663574836,70.5170858378674,90.0
80.9907762908561,75.54506864311608,1.0156752225447945,69.93516707996278,85.38099938133129,78.16193319471382,90.0
71.46193096783769,82.11082873750888,1.1036393209363167,65.0100444393932,91.0331090279323,76.85679786292673,90.0
87.33965061021068,73.84247533443124,2.448528800584192,64.23947591745213,89.66635674424685,90.96038785774005,90.0
73.36149760467057,66.97658074307715,3.216237934136493,79.44834385027585,75.53012222702728,77.91738521746394,90.0
78.76021775662134,67.11214050628558,2.3151610667232303,81.50406691594108,86.20576350796422,76.87035982153577,90.0
85.04408804991962,80.58467876411201,1.5882792945650572,70.97708845864662,91.5007256650681,80.10842489103578,90.0
84.6476084459572,74.9283058010124,1.6789383475474133,71.09657753175038,87.58044246187393,68.7663018658987,90.0
84.98335319556428,81.08370867318058,2.1136639244098516,67.5013388221798,75.99089840657743,70.60571945776883,90.0
71.02776563789473,78.10219770984904,2.0694125516523796,67.28280698762224,81.28945374389636,80.72055583235664,90.0
70.71526838042394,73.26795435122125,3.488909388425827,82.39964345933087,82.83280714936954,83.68677664121174,90.0
69.57872150378635,69.95333736917318,0.9463783804288354,81.74916508456718,72.99710531213825,76.19259667824366,90.0
74.28390831534406,69.98220428872051,3.429609045580581,62.99169948490632,86.24006386480158,72.76272853417895,90.0
76.85926224219936,84.96893461362792,2.9499461514650376,63.0858551864947,70.8423659362888,81.99870442684163,90.0
79.44548047375801,70.11767291616039,2.256135956812264,74.84978768879171,84.06499587141978,78.84019680709122,90.0
87.73711336397231,66.16824103996487,2.6543966662229344,63.88713332994309,82.09945256105958,68.59152481401517,90.0
88.48081572740573,84.23221317594471,1.46343075802808,67.81746542934403,89.6572609968382,88.20056984564394,90.0
79.77267291252132,71.69022574376773,0.9610504606805211,81.80660728006387,89.15850543728952,85.44689966789376,90.0
88.06916952091518,66.3880771350281,1.9355460855615956,68.0184399675562,77.86519773557761,82.1477022646261,90.0
77.95990699079556,72.22959220743613,2.1840763590946173,69.16779088615802,83.64525594708914,74.71053692977073,90.0
75.22055987516251,71.11041988927983,3.208706725165099,72.5358403479686,91.07699662938563,88.82627057968908,90.0
73.31851926165747,81.67376468838842,2.343693054121224,74.62091449124196,89.0330999670464,76.26601233194938,90.0
87.02380275352297,65.89644264590305,1.5658941141408214,76.08047481548994,89.34127438194412,90.2847402858993,90.0
85.27070531699104,70.05529575417043,2.6932023197883472,76.13909529516779,84.20122645839594,85.34450655304862,90.0
72.94471287745957,77.61176021733888,3.454209416545365,66.32800141654442,77.2628019758142,70.92274517202017,90.0
75.08049194080431,67.0943692046756,0.9917116853678896,71.43250626662511,86.34388875358215,89.03301707480367,90.0
75.34233868604085,81.33310289067734,3.269068742035481,72.56661204122945,81.26585617322719,70.82491736099706,90.0
91.70358542389994,73.8203078793705,2.150515256463861,60.44206042318374,84.03834081933906,90.32801817637056,90.0
79.88264123467569,80.76175660583674,2.672338470237841,79.01057652652655,81.69758181533159,69.42678906973205,90.0
83.81727384868294,74.18889485230117,2.9524160929223067,82.85316956952853,72.53827433560316,84.4527156699603,90.0
83.29205660256086,82.40018174558989,1.104587604622013,61.44492904812042,70.75782002809628,78.92963247149495,90.0
80.42760915668654,68.85958249065342,1.4519338116107998,82.30272532091234,76.97664085090828,69.11605845601781,90.0
82.37320396498794,82.55040267792181,0.7183936510058889,78.69293788910277,84.05806792109254,86.7692662473268,90.0
87.32771542161491,71.0280931316866,2.3063697128510343,66.27518066602904,87.88793729163676,80.9830712946662,90.0
91.09949440138124,78.74663443070503,0.8406693014601889,66.71417875371161,70.6232118836113,80.91361222163475,90.0
81.54610165938811,76.08209983989528,3.0947878832254876,64.3250339321348,82.01359871266976,90.07728641733279,90.0
84.60835403586722,80.91643815272293,2.517738140294921,71.3846917359527,85.17254550959646,90.96556321214804,90.0
85.38330805181607,70.1678009487172,1.0874730993316513,76.75444815413395,84.86870999005707,73.14642691461763,90.0
88.79526889687611,73.80608867252589,2.826186802060861,63.27024312398215,84.86020087775395,68.85598172771817,90.0
85.16546639671066,80.02650864768313,3.2410906919898244,74.8769349086886,89.4557508207235,73.30722609755166,90.0
86.88073868586406,74.73836451216495,3.502270123409379,62.64674528758619,79.70173579195925,82.13936665906722,90.0
80.748828703833,82.76856611103321,1.6329630054000648,77.44191476474019,84.86962653955631,69.54113089008335,90.0
77.89629225627566,80.65239603868562,1.832225871908734,81.07417423126054,70.44731454774899,81.97097723930867,90.0
74.15151358805052,76.54682668467265,2.019962473586637,65.03742237297833,73.50166501658558,89.31976227402366,90.0
82.63291888996729,75.45480743122775,2.8980729012245874,61.964947800041,82.4572788416692,71.42663079293361,90.0
75.31880402807268,83.52460604803613,0.9531778699108944,81.433519437916,78.43937537084838,68.82105288515555,90.0
81.1435563692145,82.92012221477364,1.0208754921501293,72.5234043605412,75.62094727864552,71.07761785624126,90.0
72.41117160683983,77.18558036479577,1.0700612480347258,64.59894811091684,84.82004876558847,75.85611423431347,90.0
90.18193111294062,72.49789848828826,3.2912685003189335,79.16867371412182,91.62659015693181,88.43042179370467,90.0
84.52078324987455,79.25366229511181,1.0989241439145787,68.15951188523847,75.04908481756569,80.40486606487963,90.0
69.84906861890063,80.03706860021211,1.2309861394194321,63.40000386546751,79.05677893151957,91.48583921125791,90.0
73.73730698999886,74.87904903759672,3.4761681537000424,64.56968843912118,77.80591992195275,92.84538508190325,90.0
82.4493757713294,71.3984921161609,1.309486991712109,66.56382149488975,76.08483084987803,80.60449218720838,90.0
70.48035493903014,69.51103400809305,2.529714544934658,77.6409082012833,85.23571901333237,78.848944739911,90.0
77.09833930655432,67.01583426141289,3.077505849721857,66.94216804919385,77.40844293110172,71.76179871721659,90.0
86.31436993061283,72.35021776481956,1.3259333869592638,77.09313398973455,78.77681513538053,89.24620342162413,90.0
90.39688513264885,73.02557964266406,3.3904611118902688,68.45309435435985,80.99789967729691,77.58471568789189,90.0
72.88326893800705,67.44537107717075,1.9465325131406996,78.23480345748305,89.02760755534065,76.02354388399644,90.0
73.46765548234521,79.38917727370904,1.1649442314051348,66.23170908080445,90.69426961622237,75.3608653838254,90.0
91.4049823055966,84.97064906405366,3.269809795964308,82.68092569996999,73.23441197795681,87.03379146646287,90.0
85.64627003990887,66.15490143969889,0.9326168134380383,63.856216902477435,84.58448125544565,80.84499950858267,90.0
78.06150760011312,84.3049065045523,2.0054991299885057,63.23223412952019,83.26500091476184,85.11038033821734,90.0
